
"Claimant count by sex and age"
"ONS Crown Copyright Reserved [from Nomis on 8 April 2025]"
"Analysis   :","standard"
"Gender     :","Total"
"Age        :","All categories: Age 16+"
"measure    :","Claimant count"

"2011 census frozen ward","January 2006","January 2007","January 2008","January 2009","January 2010","January 2011","January 2012","January 2013","January 2014","January 2015","January 2016","January 2017","January 2018","January 2019"

"E36007157 : Belsize",-,-,-,-,-,-,-,190,150,85,100,85,105,120
"E36007158 : Bloomsbury",-,-,-,-,-,-,-,185,150,110,90,85,95,130
"E36007159 : Camden Town with Primrose Hill",-,-,-,-,-,-,-,325,215,180,170,175,185,180
"E36007160 : Cantelowes",-,-,-,-,-,-,-,295,230,175,175,150,165,190
"E36007161 : Fortune Green",-,-,-,-,-,-,-,285,250,160,160,135,125,135
"E36007162 : Frognal and Fitzjohns",-,-,-,-,-,-,-,95,85,55,55,55,65,55
"E36007163 : Gospel Oak",-,-,-,-,-,-,-,330,235,180,155,185,190,200
"E36007164 : Hampstead Town",-,-,-,-,-,-,-,75,65,55,25,35,40,55
"E36007165 : Haverstock",-,-,-,-,-,-,-,390,280,170,155,190,190,180
"E36007166 : Highgate",-,-,-,-,-,-,-,250,200,150,135,155,130,145
"E36007167 : Holborn and Covent Garden",-,-,-,-,-,-,-,340,250,165,170,160,180,250
"E36007168 : Kentish Town",-,-,-,-,-,-,-,340,245,200,175,160,160,160
"E36007169 : Kilburn",-,-,-,-,-,-,-,430,350,265,270,240,220,245
"E36007170 : King's Cross",-,-,-,-,-,-,-,295,205,160,145,150,155,220
"E36007171 : Regent's Park",-,-,-,-,-,-,-,295,260,180,185,170,210,245
"E36007172 : St Pancras and Somers Town",-,-,-,-,-,-,-,410,350,275,250,255,285,340
"E36007173 : Swiss Cottage",-,-,-,-,-,-,-,210,140,125,110,110,100,90
"E36007174 : West Hampstead",-,-,-,-,-,-,-,295,230,175,170,170,145,170
"E36007051 : Aldersgate,Cheap",-,-,-,-,-,-,-,5,5,5,0,0,5,5
"E36007052 : Aldgate,Billingsgate,Bishopsgate,Bridge,Broad Street,Candlewick,Corn",-,-,-,-,-,-,-,50,35,30,35,25,35,30
"E36007053 : Bassishaw,Coleman Street,Cripplegate",-,-,-,-,-,-,-,45,35,25,15,20,15,20
"E36007054 : Bread Street,Castle Baynard,Cordwainer,Dowgate,Farringdon Within,Far",-,-,-,-,-,-,-,15,15,10,10,10,5,10
"E36007260 : Brownswood",-,-,-,-,-,-,-,365,330,235,205,210,205,285
"E36007261 : Cazenove",-,-,-,-,-,-,-,400,285,210,180,210,195,230
"E36007262 : Chatham",-,-,-,-,-,-,-,755,515,385,355,345,340,395
"E36007263 : Clissold",-,-,-,-,-,-,-,365,300,190,185,185,175,215
"E36007264 : Dalston",-,-,-,-,-,-,-,725,515,410,355,315,360,400
"E36007265 : De Beauvoir",-,-,-,-,-,-,-,505,440,320,245,225,235,295
"E36007266 : Hackney Central",-,-,-,-,-,-,-,615,465,325,290,270,305,340
"E36007267 : Hackney Downs",-,-,-,-,-,-,-,565,485,355,260,260,270,315
"E36007268 : Haggerston",-,-,-,-,-,-,-,540,435,325,265,225,245,275
"E36007269 : Hoxton",-,-,-,-,-,-,-,590,495,350,315,285,295,290
"E36007270 : King's Park",-,-,-,-,-,-,-,580,430,305,250,250,285,300
"E36007271 : Leabridge",-,-,-,-,-,-,-,645,535,345,295,275,270,360
"E36007272 : Lordship",-,-,-,-,-,-,-,320,250,170,155,155,170,190
"E36007273 : New River",-,-,-,-,-,-,-,345,285,220,195,230,240,255
"E36007274 : Queensbridge",-,-,-,-,-,-,-,610,480,365,300,260,245,285
"E36007275 : Springfield",-,-,-,-,-,-,-,410,330,265,205,205,220,260
"E36007276 : Stoke Newington Central",-,-,-,-,-,-,-,440,365,260,195,220,225,275
"E36007277 : Victoria",-,-,-,-,-,-,-,610,480,315,275,265,305,365
"E36007278 : Wick",-,-,-,-,-,-,-,545,410,300,290,290,315,360
"E36007279 : Addison",-,-,-,-,-,-,-,315,275,220,195,220,310,330
"E36007280 : Askew",-,-,-,-,-,-,-,545,455,370,315,305,430,450
"E36007281 : Avonmore and Brook Green",-,-,-,-,-,-,-,260,230,185,185,220,265,250
"E36007282 : College Park and Old Oak",-,-,-,-,-,-,-,315,280,205,190,205,280,285
"E36007283 : Fulham Broadway",-,-,-,-,-,-,-,280,225,165,170,175,245,245
"E36007284 : Fulham Reach",-,-,-,-,-,-,-,235,165,150,120,160,190,205
"E36007285 : Hammersmith Broadway",-,-,-,-,-,-,-,365,295,240,235,285,310,340
"E36007286 : Munster",-,-,-,-,-,-,-,145,105,95,90,90,135,135
"E36007287 : North End",-,-,-,-,-,-,-,310,240,200,200,240,290,285
"E36007288 : Palace Riverside",-,-,-,-,-,-,-,65,65,40,50,40,50,60
"E36007289 : Parsons Green and Walham",-,-,-,-,-,-,-,135,110,85,80,85,125,140
"E36007290 : Ravenscourt Park",-,-,-,-,-,-,-,205,210,135,115,155,175,170
"E36007291 : Sands End",-,-,-,-,-,-,-,305,255,210,185,175,275,265
"E36007292 : Shepherd's Bush Green",-,-,-,-,-,-,-,520,435,340,330,265,385,465
"E36007293 : Town",-,-,-,-,-,-,-,225,200,130,130,135,175,200
"E36007294 : Wormholt and White City",-,-,-,-,-,-,-,575,490,385,375,335,460,470
"E36007295 : Alexandra",-,-,-,-,-,-,-,195,145,100,80,90,65,80
"E36007296 : Bounds Green",-,-,-,-,-,-,-,505,400,270,220,225,230,280
"E36007297 : Bruce Grove",-,-,-,-,-,-,-,760,655,460,395,390,335,400
"E36007298 : Crouch End",-,-,-,-,-,-,-,190,180,135,100,105,105,115
"E36007299 : Fortis Green",-,-,-,-,-,-,-,175,150,105,95,85,110,120
"E36007300 : Harringay",-,-,-,-,-,-,-,515,420,290,225,220,215,270
"E36007301 : Highgate",-,-,-,-,-,-,-,200,165,125,115,125,105,125
"E36007302 : Hornsey",-,-,-,-,-,-,-,480,410,290,255,300,285,315
"E36007303 : Muswell Hill",-,-,-,-,-,-,-,160,115,85,80,65,65,65
"E36007304 : Noel Park",-,-,-,-,-,-,-,575,465,360,260,280,280,295
"E36007305 : Northumberland Park",-,-,-,-,-,-,-,1030,870,640,550,500,530,550
"E36007306 : Seven Sisters",-,-,-,-,-,-,-,605,470,325,270,260,270,290
"E36007307 : St Ann's",-,-,-,-,-,-,-,580,470,305,250,260,225,255
"E36007308 : Stroud Green",-,-,-,-,-,-,-,370,290,200,170,195,170,205
"E36007309 : Tottenham Green",-,-,-,-,-,-,-,740,645,415,365,360,350,375
"E36007310 : Tottenham Hale",-,-,-,-,-,-,-,790,660,485,375,380,380,425
"E36007311 : West Green",-,-,-,-,-,-,-,595,500,330,275,270,285,285
"E36007312 : White Hart Lane",-,-,-,-,-,-,-,570,445,355,275,280,245,270
"E36007313 : Woodside",-,-,-,-,-,-,-,520,390,295,235,225,235,260
"E36007395 : Barnsbury",-,-,-,-,-,-,-,305,220,155,150,135,160,205
"E36007396 : Bunhill",-,-,-,-,-,-,-,470,360,280,225,215,245,295
"E36007397 : Caledonian",-,-,-,-,-,-,-,445,365,260,215,225,260,315
"E36007398 : Canonbury",-,-,-,-,-,-,-,380,275,205,155,170,190,285
"E36007399 : Clerkenwell",-,-,-,-,-,-,-,320,260,160,155,165,180,255
"E36007400 : Finsbury Park",-,-,-,-,-,-,-,630,535,360,335,340,355,455
"E36007401 : Highbury East",-,-,-,-,-,-,-,275,220,160,135,140,145,230
"E36007402 : Highbury West",-,-,-,-,-,-,-,465,380,300,255,270,300,365
"E36007403 : Hillrise",-,-,-,-,-,-,-,445,375,295,210,245,240,290
"E36007404 : Holloway",-,-,-,-,-,-,-,555,445,335,275,320,295,355
"E36007405 : Junction",-,-,-,-,-,-,-,445,335,260,245,245,230,325
"E36007406 : Mildmay",-,-,-,-,-,-,-,460,400,245,195,220,210,255
"E36007407 : St George's",-,-,-,-,-,-,-,410,340,265,225,215,240,290
"E36007408 : St Mary's",-,-,-,-,-,-,-,310,255,185,165,170,175,235
"E36007409 : St Peter's",-,-,-,-,-,-,-,360,255,180,185,165,180,220
"E36007410 : Tollington",-,-,-,-,-,-,-,575,465,325,300,340,300,375
"E36007411 : Abingdon",-,-,-,-,-,-,-,110,80,65,65,70,80,95
"E36007412 : Brompton",-,-,-,-,-,-,-,60,45,35,40,35,60,55
"E36007413 : Campden",-,-,-,-,-,-,-,55,35,20,30,25,20,25
"E36007414 : Colville",-,-,-,-,-,-,-,265,175,140,150,125,120,125
"E36007415 : Courtfield",-,-,-,-,-,-,-,100,80,75,65,55,85,105
"E36007416 : Cremorne",-,-,-,-,-,-,-,185,135,120,115,120,205,200
"E36007417 : Earl's Court",-,-,-,-,-,-,-,235,210,150,130,115,185,210
"E36007418 : Golborne",-,-,-,-,-,-,-,480,355,290,230,220,195,185
"E36007419 : Hans Town",-,-,-,-,-,-,-,85,80,50,35,45,55,75
"E36007420 : Holland",-,-,-,-,-,-,-,120,105,85,80,80,115,130
"E36007421 : Norland",-,-,-,-,-,-,-,170,130,115,105,105,90,85
"E36007422 : Notting Barns",-,-,-,-,-,-,-,345,255,190,160,155,135,150
"E36007423 : Pembridge",-,-,-,-,-,-,-,110,80,75,60,60,65,75
"E36007424 : Queen's Gate",-,-,-,-,-,-,-,55,50,35,35,40,35,40
"E36007425 : Redcliffe",-,-,-,-,-,-,-,115,105,75,80,75,120,140
"E36007426 : Royal Hospital",-,-,-,-,-,-,-,75,60,50,35,35,70,85
"E36007427 : St Charles",-,-,-,-,-,-,-,325,240,170,155,160,140,140
"E36007428 : Stanley",-,-,-,-,-,-,-,70,65,50,50,40,60,65
"E36007445 : Bishop's",-,-,-,-,-,-,-,290,245,165,155,165,195,225
"E36007446 : Brixton Hill",-,-,-,-,-,-,-,625,485,340,270,280,275,315
"E36007447 : Clapham Common",-,-,-,-,-,-,-,320,255,190,180,165,180,215
"E36007448 : Clapham Town",-,-,-,-,-,-,-,450,355,245,230,220,220,260
"E36007449 : Coldharbour",-,-,-,-,-,-,-,1080,790,545,495,500,580,610
"E36007450 : Ferndale",-,-,-,-,-,-,-,545,435,325,300,255,270,330
"E36007451 : Gipsy Hill",-,-,-,-,-,-,-,585,440,330,320,275,320,405
"E36007452 : Herne Hill",-,-,-,-,-,-,-,540,460,335,260,240,310,370
"E36007453 : Knight's Hill",-,-,-,-,-,-,-,565,475,335,275,260,310,395
"E36007454 : Larkhall",-,-,-,-,-,-,-,655,555,415,335,330,360,505
"E36007455 : Oval",-,-,-,-,-,-,-,535,425,305,255,260,265,380
"E36007456 : Prince's",-,-,-,-,-,-,-,525,445,330,290,265,270,385
"E36007457 : St Leonard's",-,-,-,-,-,-,-,510,385,300,250,250,260,365
"E36007458 : Stockwell",-,-,-,-,-,-,-,630,530,380,340,325,300,405
"E36007459 : Streatham Hill",-,-,-,-,-,-,-,485,395,295,235,200,205,295
"E36007460 : Streatham South",-,-,-,-,-,-,-,475,370,280,225,220,230,285
"E36007461 : Streatham Wells",-,-,-,-,-,-,-,485,375,285,250,205,235,320
"E36007462 : Thornton",-,-,-,-,-,-,-,395,315,205,155,175,200,255
"E36007463 : Thurlow Park",-,-,-,-,-,-,-,410,335,255,210,210,235,260
"E36007464 : Tulse Hill",-,-,-,-,-,-,-,800,615,465,395,355,375,475
"E36007465 : Vassall",-,-,-,-,-,-,-,765,595,430,375,360,370,475
"E36007466 : Bellingham",-,-,-,-,-,-,-,615,430,365,345,325,400,475
"E36007467 : Blackheath",-,-,-,-,-,-,-,345,270,235,190,215,215,215
"E36007468 : Brockley",-,-,-,-,-,-,-,675,465,330,295,295,330,390
"E36007469 : Catford South",-,-,-,-,-,-,-,455,350,270,245,220,220,265
"E36007470 : Crofton Park",-,-,-,-,-,-,-,430,355,230,220,195,185,225
"E36007471 : Downham",-,-,-,-,-,-,-,595,435,305,250,250,235,325
"E36007472 : Evelyn",-,-,-,-,-,-,-,780,585,430,355,380,430,520
"E36007473 : Forest Hill",-,-,-,-,-,-,-,530,430,315,245,230,270,320
"E36007474 : Grove Park",-,-,-,-,-,-,-,475,355,290,270,215,210,235
"E36007475 : Ladywell",-,-,-,-,-,-,-,430,335,235,225,210,215,235
"E36007476 : Lee Green",-,-,-,-,-,-,-,365,285,215,195,215,185,200
"E36007477 : Lewisham Central",-,-,-,-,-,-,-,725,535,410,370,370,390,500
"E36007478 : New Cross",-,-,-,-,-,-,-,770,570,430,420,390,425,525
"E36007479 : Perry Vale",-,-,-,-,-,-,-,515,400,330,265,275,275,305
"E36007480 : Rushey Green",-,-,-,-,-,-,-,650,560,395,365,330,385,420
"E36007481 : Sydenham",-,-,-,-,-,-,-,555,440,360,310,320,330,400
"E36007482 : Telegraph Hill",-,-,-,-,-,-,-,600,485,330,290,270,290,385
"E36007483 : Whitefoot",-,-,-,-,-,-,-,540,375,290,260,290,290,390
"E36007504 : Beckton",-,-,-,-,-,-,-,475,350,235,205,215,235,285
"E36007505 : Boleyn",-,-,-,-,-,-,-,510,360,245,200,200,200,265
"E36007506 : Canning Town North",-,-,-,-,-,-,-,795,585,445,340,345,380,455
"E36007507 : Canning Town South",-,-,-,-,-,-,-,645,460,305,245,280,280,340
"E36007508 : Custom House",-,-,-,-,-,-,-,495,355,265,220,180,220,295
"E36007509 : East Ham Central",-,-,-,-,-,-,-,410,300,230,160,170,190,235
"E36007510 : East Ham North",-,-,-,-,-,-,-,405,270,180,145,130,125,145
"E36007511 : East Ham South",-,-,-,-,-,-,-,525,355,250,210,205,205,240
"E36007512 : Forest Gate North",-,-,-,-,-,-,-,585,420,285,215,210,205,290
"E36007513 : Forest Gate South",-,-,-,-,-,-,-,665,530,385,275,315,320,405
"E36007514 : Green Street East",-,-,-,-,-,-,-,510,370,275,185,190,190,220
"E36007515 : Green Street West",-,-,-,-,-,-,-,470,345,245,145,170,170,205
"E36007516 : Little Ilford",-,-,-,-,-,-,-,685,535,315,235,235,220,275
"E36007517 : Manor Park",-,-,-,-,-,-,-,535,410,260,210,195,195,245
"E36007518 : Plaistow North",-,-,-,-,-,-,-,645,505,360,275,255,250,330
"E36007519 : Plaistow South",-,-,-,-,-,-,-,640,515,365,255,250,235,285
"E36007520 : Royal Docks",-,-,-,-,-,-,-,365,275,195,140,150,185,200
"E36007521 : Stratford and New Town",-,-,-,-,-,-,-,655,505,420,340,335,370,445
