,,,,% area that is greenspace,,Average PTAL score,,,
Codes,New Code,Borough,Names,2012,2014,2010,2011,2012,2014
00AA,E09000001,City of London,City of London,18.6,18.6,7.7,7.7,7.6,7.9
00ABFX,E05000026,Barking and Dagenham,Abbey,19.6,21.9,6.0,5.9,5.7,6.0
00ABFY,E05000027,Barking and Dagenham,Alibon,22.4,20.6,3.3,3.3,3.2,3.1
00ABFZ,E05000028,Barking and Dagenham,Becontree,3.0,1.9,2.8,2.9,2.9,2.9
00ABGA,E05000029,Barking and Dagenham,Chadwell Heath,56.4,56.0,2.3,2.3,2.2,2.3
00ABGB,E05000030,Barking and Dagenham,Eastbrook,51.1,50.4,2.3,2.3,2.4,2.3
00ABGC,E05000031,Barking and Dagenham,Eastbury,18.1,17.1,2.9,2.8,2.8,2.7
00ABGD,E05000032,Barking and Dagenham,Gascoigne,20.3,20.8,4.0,3.8,3.6,3.2
00ABGE,E05000033,Barking and Dagenham,Goresbrook,17.1,14.1,2.6,2.5,2.5,2.5
00ABGF,E05000034,Barking and Dagenham,Heath,38.4,36.3,2.6,2.6,2.6,2.7
00ABGG,E05000035,Barking and Dagenham,Longbridge,30.3,28.3,3.1,3.1,3.1,3.1
00ABGH,E05000036,Barking and Dagenham,Mayesbrook,45.8,44.8,2.6,2.6,2.5,2.5
00ABGJ,E05000037,Barking and Dagenham,Parsloes,17.5,17.4,2.7,2.7,2.7,2.7
00ABGK,E05000038,Barking and Dagenham,River,20.8,20.5,3.0,3.0,3.1,3.0
00ABGL,E05000039,Barking and Dagenham,Thames,44.4,43.8,2.4,2.2,2.1,2.1
00ABGM,E05000040,Barking and Dagenham,Valence,16.0,11.8,3.2,3.2,3.2,3.2
00ABGN,E05000041,Barking and Dagenham,Village,48.0,47.0,2.8,2.8,2.7,2.7
00ABGP,E05000042,Barking and Dagenham,Whalebone,16.4,16.0,2.9,2.9,2.9,2.9
00ACFX,E05000043,Barnet,Brunswick Park,28.0,28.0,2.8,2.8,2.8,2.9
00ACFY,E05000044,Barnet,Burnt Oak,20.2,18.9,3.6,3.6,3.6,3.6
00ACFZ,E05000045,Barnet,Childs Hill,15.1,15.1,4.5,4.5,4.6,4.5
00ACGA,E05000046,Barnet,Colindale,20.8,19.8,2.5,2.5,2.5,2.5
00ACGB,E05000047,Barnet,Coppetts,40.3,40.3,2.8,2.9,2.9,2.9
00ACGC,E05000048,Barnet,East Barnet,34.9,34.8,2.4,2.6,2.7,2.8
00ACGD,E05000049,Barnet,East Finchley,37.8,37.8,2.6,2.6,2.7,2.6
00ACGE,E05000050,Barnet,Edgware,54.0,54.0,2.9,2.9,3.0,3.0
00ACGF,E05000051,Barnet,Finchley Church End,13.7,13.7,2.9,2.9,2.9,2.9
00ACGG,E05000052,Barnet,Garden Suburb,24.2,24.2,2.7,2.7,2.7,2.7
00ACGH,E05000053,Barnet,Golders Green,14.6,14.6,3.4,3.4,3.4,3.4
00ACGJ,E05000054,Barnet,Hale,48.8,48.8,2.5,2.5,2.5,2.6
00ACGK,E05000055,Barnet,Hendon,16.4,16.4,2.6,2.6,2.7,2.7
00ACGL,E05000056,Barnet,High Barnet,47.9,47.9,2.8,2.7,2.7,2.7
00ACGM,E05000057,Barnet,Mill Hill,59.0,59.0,2.2,2.2,2.2,2.3
00ACGN,E05000058,Barnet,Oakleigh,15.3,15.3,3.2,3.2,3.2,3.3
00ACGP,E05000059,Barnet,Totteridge,57.7,57.7,2.7,2.7,2.7,2.5
00ACGQ,E05000060,Barnet,Underhill,43.7,43.8,2.6,2.6,2.6,2.6
00ACGR,E05000061,Barnet,West Finchley,13.4,13.4,3.8,3.8,3.7,3.6
00ACGS,E05000062,Barnet,West Hendon,32.0,32.0,3.5,3.5,3.5,3.5
00ACGT,E05000063,Barnet,Woodhouse,19.3,19.3,2.8,2.8,2.8,2.9
00ADGA,E05000064,Bexley,Barnehurst,35.8,36.0,3.0,3.0,3.0,3.1
00ADGB,E05000065,Bexley,Belvedere,33.2,33.1,2.4,2.4,2.5,2.8
00ADGC,E05000066,Bexley,Blackfen and Lamorbey,9.5,9.5,2.1,2.0,2.0,2.1
00ADGD,E05000067,Bexley,Blendon and Penhill,13.9,13.8,2.0,2.0,2.0,2.1
00ADGE,E05000068,Bexley,Brampton,9.2,9.1,2.5,2.5,2.5,2.7
00ADGF,E05000069,Bexley,Christchurch,17.3,17.3,3.4,3.4,3.4,3.4
00ADGG,E05000070,Bexley,Colyers,13.1,13.0,1.9,1.9,1.9,2.0
00ADGH,E05000071,Bexley,Crayford,42.7,41.7,2.0,2.0,2.1,2.1
00ADGJ,E05000072,Bexley,Cray Meadows,61.6,61.7,1.8,2.0,2.3,2.3
00ADGK,E05000073,Bexley,Danson Park,36.3,36.4,2.9,2.9,2.9,2.9
